Wavelength	Transmission
350	0.0027
351	0.004382987
352	0.004829545
353	0.006784732
354	0.008110824
355	0.008760334
356	0.009760845
357	0.001194038
358	0.001380506
359	0.001443907
360	0.001455594
361	0.001424
362	0.001386617
363	0.001332178
364	0.001304409
365	0.001283194
366	0.001227655
367	0.001199332
368	0.001122762
369	0.009782333
370	0.001024194
371	0.001013257
372	0.001053035
373	0.001131696
374	0.001129731
375	0.001138723
376	0.001140475
377	0.001108185
378	0.001136579
379	0.001231645
380	0.011951372
381	0.011213006
382	0.010715163
383	0.009215737
384	0.007260283
385	0.004329513
386	0.000329055
387	0.006519928
388	0.01639727
389	0.029485933
390	0.046524103
391	0.067553416
392	0.093585194
393	0.123849443
394	0.157820353
395	0.196155699
396	0.236954395
397	0.280821946
398	0.325321719
399	0.369193202
400	0.41228513
401	0.453166695
402	0.491357388
403	0.52769064
404	0.561045456
405	0.589228628
406	0.614853742
407	0.638119954
408	0.657485799
409	0.675220699
410	0.689914754
411	0.701783826
412	0.712090572
413	0.719861105
414	0.725574641
415	0.732057858
416	0.737078193
417	0.740063643
418	0.744879819
419	0.747049171
420	0.749445555
421	0.753964383
422	0.758641535
423	0.763380872
424	0.767869501
425	0.770777755
426	0.774894431
427	0.778305711
428	0.779055603
429	0.780928679
430	0.784959671
431	0.788644711
432	0.790311574
433	0.790816564
434	0.79206421
435	0.793483402
436	0.79457947
437	0.797297951
438	0.801826518
439	0.806380906
440	0.807609431
441	0.80710319
442	0.80758638
443	0.810748202
444	0.814956503
445	0.81845856
446	0.822543026
447	0.824046026
448	0.823652005
449	0.825667858
450	0.827559161
451	0.830512804
452	0.833754636
453	0.834350225
454	0.832983703
455	0.830645663
456	0.831441569
457	0.834298002
458	0.836526144
459	0.836796688
460	0.83757736
461	0.838399891
462	0.837959632
463	0.838709971
464	0.84184606
465	0.846107211
466	0.846493191
467	0.846362208
468	0.846132943
469	0.847725648
470	0.849205462
471	0.849100032
472	0.849393315
473	0.850513551
474	0.850023035
475	0.850727449
476	0.84999355
477	0.849143321
478	0.849089891
479	0.84339704
480	0.847355303
481	0.854288117
482	0.854088291
483	0.85256635
484	0.855947206
485	0.861882546
486	0.864066909
487	0.861670972
488	0.869908792
489	0.881218371
490	0.879638533
491	0.874978893
492	0.876404339
493	0.880962123
494	0.879819237
495	0.87682378
496	0.877972072
497	0.883651521
498	0.879316391
499	0.874760573
500	0.875283433
501	0.876636687
502	0.879761608
503	0.87892085
504	0.878218759
505	0.87790247
506	0.878968919
507	0.87880041
508	0.879072741
509	0.881465282
510	0.881713489
511	0.882134136
512	0.881827943
513	0.880658923
514	0.880151967
515	0.882904042
516	0.884528197
517	0.886623391
518	0.887449496
519	0.885804255
520	0.88366814
521	0.880527047
522	0.882885279
523	0.883251781
524	0.880804202
525	0.887280987
526	0.891157408
527	0.892206166
528	0.889372607
529	0.889381363
530	0.899590362
531	0.904387775
532	0.900876963
533	0.908127495
534	0.916242909
535	0.908250258
536	0.898243362
537	0.894637842
538	0.903420859
539	0.908163055
540	0.905385963
541	0.905761043
542	0.908889628
543	0.90927257
544	0.912997101
545	0.916551157
546	0.92378936
547	0.927279443
548	0.921509038
549	0.922329187
550	0.921744319
551	0.922940858
552	0.924756216
553	0.923322014
554	0.919527971
555	0.9189792
556	0.91925421
557	0.919990075
558	0.923265546
559	0.922631419
560	0.920300348
561	0.918314515
562	0.918398144
563	0.92114879
564	0.921319622
565	0.918950311
566	0.918953348
567	0.918037539
568	0.919783206
569	0.920896294
570	0.920028911
571	0.922296188
572	0.924442667
573	0.923290266
574	0.92527449
575	0.929691463
576	0.931493061
577	0.934572505
578	0.934560354
579	0.935186916
580	0.940089759
581	0.942481229
582	0.942021805
583	0.94100682
584	0.939085317
585	0.936977436
586	0.93762985
587	0.938775639
588	0.939658182
589	0.937391739
590	0.936181798
591	0.934365725
592	0.9313851
593	0.935854966
594	0.942557799
595	0.944903702
596	0.944811316
597	0.945286346
598	0.942809848
599	0.941766093
600	0.939514899
601	0.946113017
602	0.953907138
603	0.952297994
604	0.944964547
605	0.942300211
606	0.947022751
607	0.949410587
608	0.954390269
609	0.959247008
610	0.965077098
611	0.961529504
612	0.959594778
613	0.95878136
614	0.964081799
615	0.968048282
616	0.965173444
617	0.963021633
618	0.960662865
619	0.959445955
620	0.957913292
621	0.95551536
622	0.952065661
623	0.953782916
624	0.954344374
625	0.954078298
626	0.953446791
627	0.953783243
628	0.95347428
629	0.950175221
630	0.949680059
631	0.953688356
632	0.957915555
633	0.958774153
634	0.959784849
635	0.962272099
636	0.963540116
637	0.964902007
638	0.967818481
639	0.973005448
640	0.975385124
641	0.975356533
642	0.975009508
643	0.972987579
644	0.971102708
645	0.968709988
646	0.968776284
647	0.968646134
648	0.96793225
649	0.970600517
650	0.971575653
651	0.972813292
652	0.973312028
653	0.973303123
654	0.969709576
655	0.971371376
656	0.977645163
657	0.981893984
658	0.984207543
659	0.983577942
660	0.984934591
661	0.985112571
662	0.986381839
663	0.988414311
664	0.990949987
665	0.989485823
666	0.984465459
667	0.982827723
668	0.980486645
669	0.980207584
670	0.977958832
671	0.975693163
672	0.975483376
673	0.975643159
674	0.975621894
675	0.974240049
676	0.972008451
677	0.971577738
678	0.972986209
679	0.972795542
680	0.973889599
681	0.973621915
682	0.971731862
683	0.9694544
684	0.971862309
685	0.976250869
686	0.978073852
687	0.978331767
688	0.978593287
689	0.979445571
690	0.980483756
691	0.983912726
692	0.984743299
693	0.983885863
694	0.978536998
695	0.981419669
696	0.989911295
697	0.995030358
698	0.998022896
699	0.997860552
700	0.997900044
701	1
702	1
703	1
704	1
705	1
706	1
707	1
708	1
709	1
710	1
711	1
712	1
713	1
714	1
715	1
716	1
717	1
718	1
719	1
720	1
721	1
722	1
723	1
724	1
725	1
726	1
727	1
728	1
729	1
730	1
731	1
732	1
733	1
734	1
735	1
736	1
737	1
738	1
739	1
740	1
741	1
742	1
743	1
744	1
745	1
746	1
747	1
748	1
749	1
750	1
