Wavelength	NormAvg2024
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0.146874824
452	0.147428284
453	0.000461216
454	0.000922411
455	0.001444454
456	0.002247374
457	0.00390954
458	0.006785031
459	0.006358576
460	0.003732427
461	0.002388724
462	0.003503457
463	0.004932352
464	0.005479572
465	0.008782615
466	0.014584461
467	0.01567844
468	0.014517383
469	0.038565663
470	0.043770688
471	0.039501796
472	0.047658843
473	0.050374593
474	0.072395528
475	0.08014598
476	0.079472649
477	0.102086539
478	0.107824103
479	0.113484207
480	0.128926594
481	0.159329454
482	0.171694606
483	0.160395176
484	0.157871175
485	0.14251215
486	0.164839695
487	0.206282749
488	0.20588656
489	0.208768924
490	0.255502021
491	0.300591517
492	0.273140394
493	0.278457052
494	0.319192228
495	0.340262297
496	0.319452342
497	0.339207378
498	0.393041946
499	0.416291528
500	0.412053565
501	0.389330685
502	0.420026462
503	0.420316103
504	0.449909433
505	0.503082524
506	0.508912475
507	0.521097979
508	0.524483632
509	0.509153706
510	0.54654114
511	0.540326031
512	0.488051057
513	0.481097697
514	0.504925981
515	0.51110724
516	0.507737385
517	0.500510827
518	0.540016472
519	0.6091532
520	0.655561088
521	0.67016987
522	0.691319069
523	0.722166214
524	0.72347661
525	0.713741682
526	0.725219013
527	0.7707207
528	0.805045454
529	0.829165175
530	0.869688422
531	0.917601035
532	0.896854183
533	0.916734731
534	0.926793874
535	0.901028586
536	0.92580316
537	0.944336102
538	0.947434576
539	0.929947629
540	0.932073307
541	0.972597647
542	0.998113719
543	0.985118129
544	0.971781498
545	0.964282848
546	0.93885039
547	0.916165068
548	0.882442972
549	0.889264044
550	0.889573147
551	0.843190992
552	0.826237139
553	0.826668049
554	0.822710505
555	0.803442486
556	0.788484476
557	0.771578472
558	0.737591732
559	0.740281211
560	0.759564153
561	0.751588491
562	0.718727894
563	0.707883468
564	0.694146041
565	0.656981184
566	0.635265145
567	0.612681669
568	0.563608457
569	0.556600487
570	0.537485795
571	0.514621188
572	0.507206925
573	0.505534445
574	0.481410239
575	0.437906347
576	0.397887813
577	0.378651911
578	0.365515969
579	0.349907816
580	0.321848125
581	0.267639522
582	0.217923504
583	0.185938316
584	0.172767874
585	0.152380319
586	0.100771658
587	0.066265779
588	0.052180996
589	0.039943239
590	0.027208174
591	0.022564239
592	0.019128235
593	0.011506036
594	0.006174598
595	0.002908707
596	0.000974675
597	7.77E-05
598	0
599	0
600	0
601	0
602	0
603	0
604	0
605	0
606	0
607	0
608	0
609	0
610	0
611	0
612	0
613	0
614	0
615	0
616	0
617	0
618	0
619	0
620	0
621	0
622	0
623	0
624	0
625	0
626	0
627	0
628	0
629	0
630	0
631	0
632	0
633	0
634	0
635	0
636	0
637	0
638	0
639	0
640	0
641	0
642	0
643	0
644	0
645	0
646	0
647	0
648	0
649	0
650	0
651	0
652	0
653	0
654	0
655	0
656	0
657	0
658	0
659	0
660	0
661	0
662	0
663	0
664	0
665	0
666	0
667	0
668	0
669	0
670	0
671	0
672	0
673	0
674	0
675	0
676	0
677	0
678	0
679	0
680	0
681	0
682	0
683	0
684	0
685	0
686	0
687	0
688	0
689	0
690	0
691	0
692	0
693	0
694	0
695	0
696	0
697	0
698	0
699	0
700	0
701	0
702	0
703	0
704	0
705	0
706	0
707	0
708	0
709	0.000395907
710	0.000395907
711	0
712	0
713	0
714	0
715	0
716	0
717	0.000116634
718	0.000116634
719	0
720	0
721	0
722	0
723	0
724	0
725	0
726	0
727	0
728	0
729	0
730	0
731	0
732	0
733	0
734	0
735	0
736	0
737	0
738	0
739	0
740	0
741	0
742	0
743	0
744	0
745	0
746	0
747	0
748	0
749	0
750	0
