Wavelength	Avg(Norm2-10m)
350	0
351	0
352	0.029106303
353	0.038583807
354	0.048496524
355	0.055984051
356	0.052507836
357	0.046423994
358	0.047841195
359	0.063483664
360	0.060018182
361	0.044981537
362	0.052125404
363	0.05058638
364	0.046308854
365	0.051400458
366	0.053930526
367	0.05887666
368	0.064951153
369	0.064634378
370	0.062128471
371	0.057935296
372	0.051791526
373	0.051646278
374	0.053905866
375	0.061996613
376	0.075740817
377	0.085447486
378	0.082291999
379	0.083981723
380	0.08803588
381	0.072554213
382	0.057028455
383	0.063578033
384	0.083669546
385	0.091615694
386	0.093163164
387	0.099843354
388	0.106486634
389	0.12693288
390	0.136368729
391	0.126255093
392	0.091933482
393	0.093083265
394	0.119403468
395	0.123622604
396	0.110679947
397	0.136993122
398	0.1964779
399	0.21573876
400	0.230067591
401	0.240455846
402	0.240045676
403	0.234059683
404	0.232389448
405	0.227022057
406	0.221128252
407	0.232258999
408	0.235384184
409	0.231670262
410	0.234642506
411	0.247044644
412	0.254023359
413	0.249901749
414	0.247447744
415	0.247714759
416	0.245675729
417	0.242420686
418	0.247075027
419	0.249090547
420	0.256464931
421	0.2604538
422	0.25306001
423	0.257650544
424	0.259506068
425	0.259854733
426	0.253317596
427	0.248062942
428	0.238985347
429	0.204635492
430	0.206514538
431	0.23931606
432	0.264811722
433	0.261654175
434	0.267633501
435	0.285368681
436	0.289006698
437	0.27980451
438	0.27782771
439	0.296135589
440	0.309951283
441	0.32418063
442	0.337662031
443	0.345353797
444	0.345301395
445	0.343745571
446	0.363299696
447	0.381299597
448	0.389491572
449	0.402401517
450	0.42207062
451	0.431239888
452	0.412504004
453	0.40796841
454	0.420163101
455	0.435059561
456	0.445231469
457	0.441602136
458	0.435042663
459	0.444573032
460	0.456317759
461	0.468889824
462	0.477098278
463	0.474275506
464	0.47089861
465	0.473569593
466	0.481073096
467	0.498598159
468	0.517573556
469	0.523129084
470	0.537303746
471	0.569292816
472	0.587772417
473	0.614853543
474	0.635950948
475	0.647061345
476	0.674642371
477	0.697001341
478	0.721885465
479	0.747383613
480	0.769224804
481	0.783458031
482	0.793602552
483	0.793262229
484	0.77463823
485	0.729964642
486	0.722100693
487	0.780010414
488	0.816567007
489	0.85281834
490	0.861595266
491	0.847842682
492	0.857313889
493	0.884063945
494	0.900651888
495	0.903575042
496	0.908893348
497	0.904107923
498	0.902081156
499	0.897437575
500	0.880629509
501	0.881733114
502	0.898091289
503	0.902992523
504	0.921355315
505	0.940222371
506	0.935233974
507	0.929551899
508	0.932806596
509	0.935736278
510	0.936203455
511	0.929169521
512	0.908400849
513	0.893501997
514	0.897034549
515	0.873333173
516	0.830182324
517	0.820302253
518	0.860310296
519	0.899062836
520	0.926623281
521	0.933506373
522	0.93421934
523	0.959076614
524	0.965202547
525	0.92391364
526	0.892481585
527	0.926190279
528	0.954594057
529	0.972341631
530	0.980468268
531	0.957757993
532	0.938734505
533	0.938754564
534	0.953431322
535	0.958043263
536	0.944053323
537	0.940733481
538	0.925833756
539	0.902897189
540	0.895590378
541	0.901483349
542	0.903422022
543	0.901763137
544	0.903730741
545	0.898067673
546	0.881161389
547	0.870972533
548	0.868570794
549	0.857018038
550	0.848465818
551	0.839005204
552	0.831016709
553	0.827320486
554	0.826528937
555	0.814479194
556	0.795774742
557	0.78074026
558	0.75659109
559	0.755276286
560	0.757697302
561	0.750856625
562	0.743799154
563	0.73118915
564	0.715431091
565	0.694995551
566	0.684344623
567	0.672838933
568	0.652734963
569	0.637352507
570	0.620298939
571	0.616095917
572	0.61314192
573	0.603345036
574	0.578475334
575	0.562619019
576	0.547322438
577	0.525798897
578	0.511852513
579	0.498539112
580	0.483407954
581	0.466495735
582	0.447258681
583	0.427960545
584	0.400374793
585	0.379023951
586	0.356561636
587	0.321767983
588	0.281101482
589	0.264193177
590	0.258714071
591	0.247545463
592	0.236288311
593	0.221358985
594	0.205668955
595	0.197035086
596	0.182219609
597	0.168249236
598	0.1546174
599	0.14358015
600	0.132642523
601	0.125240828
602	0.120467024
603	0.117702763
604	0.114425237
605	0.111467482
606	0.109697821
607	0.107195559
608	0.103917402
609	0.101987525
610	0.099427019
611	0.097453987
612	0.094715562
613	0.092881677
614	0.091896443
615	0.08889829
616	0.085856298
617	0.085993865
618	0.085116934
619	0.083157474
620	0.081955527
621	0.079221803
622	0.077322012
623	0.075360226
624	0.072896548
625	0.071522658
626	0.070071812
627	0.067464431
628	0.065989286
629	0.065604281
630	0.063790579
631	0.062475631
632	0.061750681
633	0.061480701
634	0.06062661
635	0.059405415
636	0.059339084
637	0.058939477
638	0.057466715
639	0.055570641
640	0.054540819
641	0.053754863
642	0.052728262
643	0.051675872
644	0.05006148
645	0.048353503
646	0.04633583
647	0.044709632
648	0.043029475
649	0.042767058
